X Y TOP_RDG BOTTOM_RDG VRT_GRAD TIME DATE LINE MARK
45 80 29675.5 29678.4 4.754 10:35:07.00 12/01/22 47 900
44 89 29719.4 29718.4 -1.639 10:34:47.00 12/01/22 46 898
44 88 29686.9 29694.6 12.623 10:34:35.00 12/01/22 46 896
44 87 29668.1 29676.4 13.607 10:34:24.00 12/01/22 46 894
44 86 29653.1 29663.8 17.541 10:34:14.00 12/01/22 46 892
44 85 29643.6 29656.6 21.311 10:34:04.00 12/01/22 46 890
44 84 29643 29655.7 20.82 10:33:54.00 12/01/22 46 888
44 83 29649.1 29659.7 17.377 10:33:44.00 12/01/22 46 886
44 82 29659.4 29665.6 10.164 10:33:35.00 12/01/22 46 884
44 81 29669.2 29672.4 5.246 10:33:24.00 12/01/22 46 882
44 80 29680.1 29681.2 1.803 10:33:13.00 12/01/22 46 880
43 89 29721.8 29718.2 -5.902 10:32:18.00 12/01/22 45 878
43 88 29680.2 29687.2 11.475 10:32:07.00 12/01/22 45 876
43 87 29652.5 29663.6 18.197 10:31:57.00 12/01/22 45 874
43 86 29636.6 29651.7 24.754 10:31:48.00 12/01/22 45 872
43 85 29632.3 29648.3 26.23 10:31:38.00 12/01/22 45 870
43 84 29639.2 29652.5 21.803 10:31:28.00 12/01/22 45 868
43 83 29648.1 29657.4 15.246 10:31:18.00 12/01/22 45 866
43 82 29661.4 29666.8 8.852 10:31:08.00 12/01/22 45 864
43 81 29673.8 29675.1 2.131 10:30:58.00 12/01/22 45 862
43 80 29683.3 29682.9 -0.656 10:30:48.00 12/01/22 45 860
42 89 29730.9 29727 -6.393 10:30:28.00 12/01/22 44 858
42 88 29661.6 29681.3 32.295 10:30:18.00 12/01/22 44 856
42 87 29626.8 29654.3 45.082 10:30:06.00 12/01/22 44 854
42 86 29615.7 29640.2 40.164 10:29:56.00 12/01/22 44 852
42 85 29619.5 29640.7 34.754 10:29:44.00 12/01/22 44 850
42 84 29631.5 29646.8 25.082 10:29:34.00 12/01/22 44 848
42 83 29646.7 29655.7 14.754 10:29:25.00 12/01/22 44 846
42 82 29660.4 29665.7 8.689 10:29:15.00 12/01/22 44 844
42 81 29670.9 29675 6.721 10:29:05.00 12/01/22 44 842
42 80 29679.3 29682.1 4.59 10:28:56.00 12/01/22 44 840
41 89 29714 29728.7 24.098 10:28:13.00 12/01/22 43 838
41 88 29612.2 29664.4 85.574 10:28:04.00 12/01/22 43 836
41 87 29582.7 29632.9 82.295 10:27:53.00 12/01/22 43 834
41 86 29587.2 29626.7 64.754 10:27:44.00 12/01/22 43 832
41 85 29604.7 29632 44.754 10:27:31.00 12/01/22 43 830
41 84 29625.2 29642.7 28.689 10:27:19.00 12/01/22 43 828
41 83 29647.7 29656.3 14.098 10:27:08.00 12/01/22 43 826
41 82 29661.7 29666.4 7.705 10:26:57.00 12/01/22 43 824
41 81 29670.5 29675.5 8.197 10:26:45.00 12/01/22 43 822
41 80 29678.9 29681.5 4.262 10:26:35.00 12/01/22 43 820
40 89 29708.3 29723.1 24.262 10:26:13.00 12/01/22 42 818
40 88 29613 29664.8 84.918 10:26:04.00 12/01/22 42 816
40 87 29584.9 29634.2 80.82 10:25:53.00 12/01/22 42 814
40 86 29586.8 29628.5 68.361 10:25:42.00 12/01/22 42 812
40 85 29605.5 29634 46.721 10:25:31.00 12/01/22 42 810
40 84 29626.6 29643.4 27.541 10:25:19.00 12/01/22 42 808
40 83 29649.5 29657.7 13.443 10:25:05.00 12/01/22 42 806
40 82 29662.4 29667.6 8.525 10:24:54.00 12/01/22 42 804
40 81 29672.1 29675.2 5.082 10:24:43.00 12/01/22 42 802
40 80 29677.1 29680.4 5.41 10:24:33.00 12/01/22 42 800
39 89 29715.8 29726.3 17.213 10:23:30.00 12/01/22 41 798
39 88 29638.5 29675.3 60.328 10:23:20.00 12/01/22 41 796
39 87 29604.7 29645.4 66.721 10:23:08.00 12/01/22 41 794
39 86 29604.7 29637.4 53.607 10:22:56.00 12/01/22 41 792
39 85 29614.7 29641 43.115 10:22:44.00 12/01/22 41 790
39 84 29636.4 29650.4 22.951 10:22:35.00 12/01/22 41 788
39 83 29652.3 29660.3 13.115 10:22:26.00 12/01/22 41 786
39 82 29665.3 29669.2 6.393 10:22:16.00 12/01/22 41 784
39 81 29673 29676.5 5.738 10:22:01.00 12/01/22 41 782
39 80 29675.7 29681.4 9.344 10:21:51.00 12/01/22 41 780
38 89 29739.3 29734.9 -7.213 10:21:31.00 12/01/22 40 778
38 88 29667.8 29685.4 28.852 10:21:21.00 12/01/22 40 776
38 87 29638.5 29662.8 39.836 10:21:11.00 12/01/22 40 774
38 86 29633 29652.3 31.639 10:21:01.00 12/01/22 40 772
38 85 29638.6 29650.2 19.016 10:20:50.00 12/01/22 40 770
38 84 29649.4 29658.3 14.59 10:20:40.00 12/01/22 40 768
38 83 29658.3 29664.7 10.492 10:20:28.00 12/01/22 40 766
38 82 29668.7 29672.2 5.738 10:20:17.00 12/01/22 40 764
38 81 29676.2 29677.3 1.803 10:20:06.00 12/01/22 40 762
38 80 29679.2 29681.6 3.934 10:19:56.00 12/01/22 40 760
37 89 29728.4 29731.3 4.754 10:19:05.00 12/01/22 39 758
37 88 29688.3 29694.8 10.656 10:18:53.00 12/01/22 39 756
37 87 29664.7 29676 18.525 10:18:40.00 12/01/22 39 754
37 86 29656.9 29664.9 13.115 10:18:28.00 12/01/22 39 752
37 85 29655.8 29663.3 12.295 10:18:15.00 12/01/22 39 750
37 84 29658 29663.2 8.525 10:18:03.00 12/01/22 39 748
37 83 29663.9 29667.8 6.393 10:17:52.00 12/01/22 39 746
37 82 29669.8 29673.1 5.41 10:17:41.00 12/01/22 39 744
37 81 29675.7 29676.7 1.639 10:17:31.00 12/01/22 39 742
37 80 29677.3 29680.2 4.754 10:17:20.00 12/01/22 39 740
36 89 29723.8 29726.1 3.77 10:16:55.00 12/01/22 38 738
36 88 29696.4 29700.8 7.213 10:16:45.00 12/01/22 38 736
36 87 29676.8 29685.6 14.426 10:16:34.00 12/01/22 38 734
36 86 29670.3 29675.5 8.525 10:16:16.00 12/01/22 38 732
36 85 29668.9 29673.3 7.213 10:16:06.00 12/01/22 38 730
36 84 29669.2 29671.8 4.262 10:15:55.00 12/01/22 38 728
36 83 29670.7 29672.7 3.279 10:15:42.00 12/01/22 38 726
36 82 29673.4 29676.1 4.426 10:15:31.00 12/01/22 38 724
36 81 29677.5 29679.2 2.787 10:15:20.00 12/01/22 38 722
36 80 29682.2 29682.3 0.164 10:15:05.00 12/01/22 38 720
35 89 29719.5 29718.1 -2.295 10:14:13.00 12/01/22 37 718
35 88 29703.5 29705.2 2.787 10:14:02.00 12/01/22 37 716
35 87 29690.1 29694.5 7.213 10:13:52.00 12/01/22 37 714
35 86 29682.7 29686.8 6.721 10:13:40.00 12/01/22 37 712
35 85 29679.3 29682 4.426 10:13:29.00 12/01/22 37 710
35 84 29677.3 29681.3 6.557 10:13:17.00 12/01/22 37 708
35 83 29676.6 29680.3 6.066 10:13:04.00 12/01/22 37 706
35 82 29674.1 29680 9.672 10:12:52.00 12/01/22 37 704
35 81 29678.3 29682.2 6.393 10:12:41.00 12/01/22 37 702
35 80 29677.7 29684 10.328 10:12:29.00 12/01/22 37 700
34 89 29713.2 29713.1 -0.164 10:12:06.00 12/01/22 36 698
34 88 29706.1 29704.3 -2.951 10:11:55.00 12/01/22 36 696
34 87 29697.7 29696.6 -1.803 10:11:44.00 12/01/22 36 694
34 86 29690.3 29690.5 0.328 10:11:33.00 12/01/22 36 692
34 85 29685.2 29687.2 3.279 10:11:22.00 12/01/22 36 690
34 84 29681 29684.1 5.082 10:11:12.00 12/01/22 36 688
34 83 29673.9 29682.4 13.934 10:11:02.00 12/01/22 36 686
34 82 29673.8 29682.6 14.426 10:10:51.00 12/01/22 36 684
34 81 29678.2 29683.8 9.18 10:10:41.00 12/01/22 36 682
34 80 29683.2 29687 6.23 10:10:31.00 12/01/22 36 680
33 89 29711.1 29716.4 8.689 10:09:31.00 12/01/22 35 678
33 88 29701.5 29698.4 -5.082 10:09:15.00 12/01/22 35 676
33 87 29698 29698 0 10:09:05.00 12/01/22 35 674
33 86 29693.2 29693.3 0.164 10:08:55.00 12/01/22 35 672
33 85 29687.4 29687.8 0.656 10:08:44.00 12/01/22 35 670
33 84 29682.2 29686.1 6.393 10:08:33.00 12/01/22 35 668
33 83 29677.5 29683.8 10.328 10:08:24.00 12/01/22 35 666
33 82 29677.2 29683.8 10.82 10:08:14.00 12/01/22 35 664
33 81 29677.6 29684.7 11.639 10:08:05.00 12/01/22 35 662
33 80 29680.3 29687.5 11.803 10:07:55.00 12/01/22 35 660
32 89 29702.2 29696.5 -9.344 10:07:33.00 12/01/22 34 658
32 88 29696.4 29719.5 37.869 10:07:12.00 12/01/22 34 656
32 87 29692 29700 13.115 10:07:01.00 12/01/22 34 654
32 86 29691.3 29694.3 4.918 10:06:52.00 12/01/22 34 652
32 85 29687.3 29690.7 5.574 10:06:42.00 12/01/22 34 650
32 84 29680.7 29687.6 11.311 10:06:31.00 12/01/22 34 648
32 83 29679.1 29685.5 10.492 10:06:21.00 12/01/22 34 646
32 82 29676.9 29684.2 11.967 10:06:11.00 12/01/22 34 644
32 81 29678 29686.3 13.607 10:06:00.00 12/01/22 34 642
32 80 29679.9 29690.1 16.721 10:05:49.00 12/01/22 34 640
31 89 29704.8 29702.8 -3.279 10:04:58.00 12/01/22 33 638
31 88 29693.3 29700.3 11.475 10:04:47.00 12/01/22 33 636
31 87 29689.1 29697.2 13.279 10:04:37.00 12/01/22 33 634
31 86 29688.9 29693.7 7.869 10:04:28.00 12/01/22 33 632
31 85 29688.4 29691.1 4.426 10:04:19.00 12/01/22 33 630
31 84 29685 29689 6.557 10:04:09.00 12/01/22 33 628
31 83 29681.9 29686.5 7.541 10:03:59.00 12/01/22 33 626
